Accession	Organism	Kingdom	Length	Transmembrane	Type	Fold
Q10571	Homo sapiens	Metazoa	1320	False	-	3
Q15849	Homo sapiens	Metazoa	920	False	-	4
Q9SYQ0	Arabidopsis thaliana	Viridiplantae	463	False	-	0
P82413	Spinacia oleracea	Viridiplantae	233	False	-	1
Q969X6	Homo sapiens	Metazoa	686	False	-	2
O54724	Mus musculus	Metazoa	392	False	-	3
Q6GKV1	Arabidopsis thaliana	Viridiplantae	324	False	-	4
P12524	Homo sapiens	Metazoa	364	False	-	0
P10734	Drosophila melanogaster	Metazoa	429	False	-	1
Q9H0G5	Homo sapiens	Metazoa	558	False	-	2
Q9VDE4	Drosophila melanogaster	Metazoa	286	False	-	3
Q99807	Homo sapiens	Metazoa	217	False	-	4
P0DW81	Homo sapiens	Metazoa	44	False	-	0
Q3T9M1	Mus musculus	Metazoa	494	False	-	1
Q9DBL9	Mus musculus	Metazoa	351	False	-	2
Q91XB0	Mus musculus	Metazoa	314	False	-	3
Q03750	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	510	False	-	4
Q8BKC5	Mus musculus	Metazoa	1097	False	-	0
Q15125	Homo sapiens	Metazoa	230	True	-	1
Q12285	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	212	False	-	2
Q8K3W3	Mus musculus	Metazoa	698	False	-	3
Q8W234	Arabidopsis thaliana	Viridiplantae	877	False	-	4
P27697	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	501	False	-	0
Q00497	Solanum lycopersicum	Viridiplantae	300	False	-	1
Q6TEC1	Xenopus laevis	Metazoa	212	False	-	2
Q8T053	Drosophila melanogaster	Metazoa	434	False	-	3
Q96K80	Homo sapiens	Metazoa	434	False	-	4
O43504	Homo sapiens	Metazoa	91	False	-	0
G5ECU7	Caenorhabditis elegans	Metazoa	319	False	-	1
Q9HAZ2	Homo sapiens	Metazoa	1276	False	-	2
O14196	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	300	False	-	3
Q9Y241	Homo sapiens	Metazoa	93	True	-	4
Q9BZJ4	Homo sapiens	Metazoa	359	True	-	0
Q9FGX1	Arabidopsis thaliana	Viridiplantae	608	False	-	1
Q9LFP6	Arabidopsis thaliana	Viridiplantae	367	True	-	2
Q8W593	Arabidopsis thaliana	Viridiplantae	350	False	-	3
P36528	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	281	False	-	4
P48987	Drosophila melanogaster	Metazoa	312	False	-	0
Q9NYV7	Homo sapiens	Metazoa	291	True	-	1
O94259	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	327	False	-	2
F1M386	Rattus norvegicus	Metazoa	1496	False	-	3
Q969F1	Homo sapiens	Metazoa	213	False	-	4
Q99PV0	Mus musculus	Metazoa	2335	False	-	0
Q9JIQ3	Mus musculus	Metazoa	237	False	-	1
Q95ZL9	Caenorhabditis elegans	Metazoa	152	False	-	2
O43172	Homo sapiens	Metazoa	522	False	-	3
Q99PP2	Mus musculus	Metazoa	2237	False	-	4
Q9BVJ7	Homo sapiens	Metazoa	150	False	-	0
P35195	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	104	False	-	1
O08691	Mus musculus	Metazoa	354	False	-	2
Q9C5U1	Arabidopsis thaliana	Viridiplantae	1036	True	-	3
Q9U1H9	Drosophila melanogaster	Metazoa	672	False	-	4
Q9UPX6	Homo sapiens	Metazoa	916	False	-	0
P29147	Rattus norvegicus	Metazoa	343	False	-	1
O88735	Mus musculus	Metazoa	730	False	-	2
Q9T6H8	Arabidopsis thaliana	Viridiplantae	382	True	-	3
Q09779	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1628	False	-	4
P32790	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1244	False	-	0
Q9FI46	Arabidopsis thaliana	Viridiplantae	269	True	-	1
Q9N589	Caenorhabditis elegans	Metazoa	588	False	-	2
P53082	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	120	False	-	3
Q99314	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	248	False	-	4
A8MR65	Arabidopsis thaliana	Viridiplantae	201	False	-	0
Q2M3R5	Homo sapiens	Metazoa	365	True	-	1
Q7TNS8	Mus musculus	Metazoa	369	False	-	2
A1Z8P9	Drosophila melanogaster	Metazoa	2346	False	-	3
P25583	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	335	False	-	4
Q99188	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	309	False	-	0
Q9WTR1	Mus musculus	Metazoa	756	False	-	1
P50748	Homo sapiens	Metazoa	2209	False	-	2
Q84JE8	Arabidopsis thaliana	Viridiplantae	694	False	-	3
O35144	Mus musculus	Metazoa	541	False	-	4
P53835	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	661	True	-	0
P82931	Bos taurus	Metazoa	124	False	-	1
Q9BZZ5	Homo sapiens	Metazoa	524	False	-	2
Q6IPR1	Homo sapiens	Metazoa	90	False	-	3
O82628	Arabidopsis thaliana	Viridiplantae	110	False	-	4
Q54KF1	Dictyostelium discoideum	Other	1158	False	-	0
O43078	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	660	False	-	1
Q12052	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	315	False	-	2
Q3ZBI7	Bos taurus	Metazoa	58	True	-	3
Q00278	Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1)	Fungi	271	False	-	4
Q9BYN7	Homo sapiens	Metazoa	854	False	-	0
Q9CZW6	Mus musculus	Metazoa	359	False	-	1
Q9Y4X0	Homo sapiens	Metazoa	333	False	-	2
O94261	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	220	False	-	3
Q156A1	Homo sapiens	Metazoa	80	False	-	4
O76064	Homo sapiens	Metazoa	485	False	-	0
P30085	Homo sapiens	Metazoa	196	False	-	1
Q9VVV9	Drosophila melanogaster	Metazoa	928	False	-	2
P53136	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	463	False	-	3
O94308	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	422	False	-	4
G5EEG9	Caenorhabditis elegans	Metazoa	399	False	-	0
P07834	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	779	False	-	1
V5IM94	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	141	False	-	2
Q9W123	Drosophila melanogaster	Metazoa	495	False	-	3
Q8N5C7	Homo sapiens	Metazoa	304	False	-	4
Q21148	Caenorhabditis elegans	Metazoa	308	False	-	0
P56277	Homo sapiens	Metazoa	68	False	-	1
M9MRD1	Drosophila melanogaster	Metazoa	12345	False	-	2
Q9LS48	Arabidopsis thaliana	Viridiplantae	316	False	-	3
Q13286	Homo sapiens	Metazoa	438	True	-	4
Q66JW3	Mus musculus	Metazoa	526	False	-	0
Q9R0W5	Rattus norvegicus	Metazoa	495	True	-	1
Q9SMS0	Arabidopsis thaliana	Viridiplantae	249	False	-	2
Q9LQ02	Arabidopsis thaliana	Viridiplantae	1453	False	-	3
P52172	Drosophila melanogaster	Metazoa	1264	False	-	4
O88554	Mus musculus	Metazoa	559	False	-	0
Q61161	Mus musculus	Metazoa	821	False	-	1
Q24322	Drosophila melanogaster	Metazoa	899	True	-	2
Q5T9L3	Homo sapiens	Metazoa	541	True	-	3
Q9WVH3	Mus musculus	Metazoa	505	False	-	4
Q96D98	Homo sapiens	Metazoa	161	False	-	0
Q9BYD2	Homo sapiens	Metazoa	267	False	-	1
Q8TAT5	Homo sapiens	Metazoa	605	False	-	2
P17119	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	729	False	-	3
Q99933	Homo sapiens	Metazoa	345	False	-	4
A0SVK0	Arabidopsis thaliana	Viridiplantae	291	False	-	0
H2KZH5	Caenorhabditis elegans	Metazoa	621	False	-	1
O64517	Arabidopsis thaliana	Viridiplantae	418	False	-	2
Q8S3U9	Arabidopsis thaliana	Viridiplantae	1090	False	-	3
Q9USW9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	244	False	-	4
P82925	Bos taurus	Metazoa	386	False	-	0
O74954	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	613	False	-	1
Q96BY2	Homo sapiens	Metazoa	351	False	-	2
P40541	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1150	False	-	3
Q9D011	Mus musculus	Metazoa	178	False	-	4
P62128	Spinacia oleracea	Viridiplantae	123	False	-	0
Q9UQN3	Homo sapiens	Metazoa	213	False	-	1
P31115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	442	False	-	2
O94423	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	421	False	-	3
Q9Y817	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1297	False	-	4
Q5W9E7	Arabidopsis thaliana	Viridiplantae	659	False	-	0
Q9P275	Homo sapiens	Metazoa	1123	False	-	1
P10174	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	60	True	-	2
P17540	Homo sapiens	Metazoa	419	False	-	3
Q91YE5	Mus musculus	Metazoa	1889	False	-	4
P59942	Homo sapiens	Metazoa	119	False	-	0
Q01560	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	414	False	-	1
Q6P1K2	Homo sapiens	Metazoa	205	False	-	2
Q9Y2L1	Homo sapiens	Metazoa	958	False	-	3
Q9M0A5	Arabidopsis thaliana	Viridiplantae	249	False	-	4
P53834	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	153	False	-	0
P61218	Homo sapiens	Metazoa	127	False	-	1
P36632	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	614	False	-	2
Q06683	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	689	False	-	3
G5EG17	Caenorhabditis elegans	Metazoa	1149	False	-	4
Q8IEF6	Plasmodium falciparum (isolate 3D7)	Other	414	False	-	0
Q04922	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	465	False	-	1
Q9VAB8	Drosophila melanogaster	Metazoa	457	False	-	2
P47149	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	201	False	-	3
Q9Y4E5	Homo sapiens	Metazoa	1061	False	-	4
O08816	Rattus norvegicus	Metazoa	501	False	-	0
Q9LU68	Arabidopsis thaliana	Viridiplantae	435	False	-	1
A0A1W2P872	Mus musculus	Metazoa	492	False	-	2
O94446	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	463	False	-	3
P40019	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	153	False	-	4
Q9UK33	Homo sapiens	Metazoa	172	False	-	0
P58281	Mus musculus	Metazoa	960	False	-	1
P41073	Drosophila melanogaster	Metazoa	716	False	-	2
O43687	Homo sapiens	Metazoa	104	False	-	3
Q96QD9	Homo sapiens	Metazoa	318	False	-	4
F4IDB2	Arabidopsis thaliana	Viridiplantae	1325	False	-	0
Q9S7I0	Arabidopsis thaliana	Viridiplantae	1307	False	-	1
Q9Y6N9	Homo sapiens	Metazoa	552	False	-	2
Q8H1D9	Arabidopsis thaliana	Viridiplantae	605	False	-	3
Q940Z2	Arabidopsis thaliana	Viridiplantae	724	False	-	4
Q07139	Mus musculus	Metazoa	913	False	-	0
P37207	Porphyridium purpureum	Other	162	False	-	1
P53838	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	576	True	-	2
O62203	Caenorhabditis elegans	Metazoa	1073	False	-	3
P31539	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	908	False	-	4
Q12124	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	431	False	-	0
Q9UTG8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	94	False	-	1
Q8N6L0	Homo sapiens	Metazoa	562	False	-	2
Q8IWZ6	Homo sapiens	Metazoa	715	False	-	3
C0HLU2	Homo sapiens	Metazoa	46	False	-	4
Q84T94	Oryza sativa subsp. japonica	Viridiplantae	639	False	-	0
Q9Y8G3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	596	False	-	1
Q9JK24	Mus musculus	Metazoa	453	False	-	2
Q8NHG8	Homo sapiens	Metazoa	242	False	-	3
Q6P9B9	Homo sapiens	Metazoa	1019	False	-	4
Q8WYA6	Homo sapiens	Metazoa	563	False	-	0
Q8LC79	Arabidopsis thaliana	Viridiplantae	295	False	-	1
Q8CFC7	Mus musculus	Metazoa	668	False	-	2
Q95Y80	Caenorhabditis elegans	Metazoa	853	False	-	3
Q3UHU5	Mus musculus	Metazoa	1945	False	-	4
Q9H190	Homo sapiens	Metazoa	292	False	-	0
Q3URQ0	Mus musculus	Metazoa	928	False	-	1
Q53GL0	Homo sapiens	Metazoa	409	False	-	2
Q99732	Homo sapiens	Metazoa	161	False	-	3
P42900	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	643	False	-	4
O35625	Mus musculus	Metazoa	863	False	-	0
Q9H5P4	Homo sapiens	Metazoa	1033	False	-	1
Q9FJK3	Arabidopsis thaliana	Viridiplantae	321	False	-	2
Q86NP2	Drosophila melanogaster	Metazoa	1251	False	-	3
P36023	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	863	False	-	4
Q9H1D9	Homo sapiens	Metazoa	316	False	-	0
Q8RXD3	Arabidopsis thaliana	Viridiplantae	310	False	-	1
Q96TA1	Homo sapiens	Metazoa	746	False	-	2
Q9JJN6	Mus musculus	Metazoa	81	False	-	3
P38193	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	441	False	-	4
Q6BDR8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	300	False	-	0
P22138	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1203	False	-	1
Q5HZI1	Mus musculus	Metazoa	1210	False	-	2
P22136	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	580	False	-	3
P21549	Homo sapiens	Metazoa	392	False	-	4
Q3SYG4	Homo sapiens	Metazoa	887	False	-	0
Q6PI26	Homo sapiens	Metazoa	577	False	-	1
Q96G30	Homo sapiens	Metazoa	205	True	-	2
Q6PDS3	Mus musculus	Metazoa	724	False	-	3
P38169	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	460	False	-	4
Q9P2G3	Homo sapiens	Metazoa	628	False	-	0
Q8C167	Mus musculus	Metazoa	725	False	-	1
Q9UIL1	Homo sapiens	Metazoa	159	False	-	2
P17655	Homo sapiens	Metazoa	700	False	-	3
P0CY08	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	210	False	-	4
Q944N1	Solanum lycopersicum	Viridiplantae	399	False	-	0
Q0WPF2	Arabidopsis thaliana	Viridiplantae	808	False	-	1
Q9NWZ8	Homo sapiens	Metazoa	242	False	-	2
O14044	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	241	False	-	3
Q99LD8	Mus musculus	Metazoa	285	False	-	4
P53102	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	219	False	-	0
Q3MIR4	Homo sapiens	Metazoa	351	True	-	1
P83211	Bolinus brandaris	Metazoa	107	False	-	2
Q00597	Homo sapiens	Metazoa	558	False	-	3
Q08561	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	116	False	-	4
Q6PGP7	Homo sapiens	Metazoa	1564	False	-	0
Q8R3K3	Mus musculus	Metazoa	381	False	-	1
Q19969	Caenorhabditis elegans	Metazoa	514	False	-	2
Q6NPS8	Arabidopsis thaliana	Viridiplantae	623	False	-	3
Q14669	Homo sapiens	Metazoa	1992	False	-	4
Q8TEQ6	Homo sapiens	Metazoa	1508	False	-	0
Q43082	Pisum sativum	Viridiplantae	369	False	-	1
Q12107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	265	False	-	2
P38737	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1868	False	-	3
Q9QXV1	Mus musculus	Metazoa	362	False	-	4
Q18221	Caenorhabditis elegans	Metazoa	1507	False	-	0
Q9LXR9	Arabidopsis thaliana	Viridiplantae	348	False	-	1
Q9UJU6	Homo sapiens	Metazoa	430	False	-	2
P15847	Plasmodium falciparum	Other	184	False	-	3
O88491	Mus musculus	Metazoa	2588	False	-	4
Q12486	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	218	False	-	0
Q75NZ0	Pisum sativum	Viridiplantae	685	False	-	1
Q8R4T1	Mus musculus	Metazoa	145	False	-	2
Q02642	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	157	False	-	3
Q9H2S6	Homo sapiens	Metazoa	317	True	-	4
Q9VVR2	Drosophila melanogaster	Metazoa	539	False	-	0
Q96E09	Homo sapiens	Metazoa	287	False	-	1
P43079	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	656	False	-	2
O43543	Homo sapiens	Metazoa	280	False	-	3
Q45VK7	Mus musculus	Metazoa	4306	False	-	4
E9P8D2	Saccharomyces cerevisiae	Fungi	229	False	-	0
O35615	Mus musculus	Metazoa	995	False	-	1
Q9Z206	Mus musculus	Metazoa	595	False	-	2
P10862	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	487	False	-	3
P20052	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	293	False	-	4
Q9HBH1	Homo sapiens	Metazoa	243	False	-	0
P25578	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	521	False	-	1
Q19541	Caenorhabditis elegans	Metazoa	169	False	-	2
Q9VQD6	Drosophila melanogaster	Metazoa	381	False	-	3
P24226	Brassica oleracea var. capitata	Viridiplantae	469	False	-	4
O74964	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	803	False	-	0
P47141	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	266	False	-	1
A4FUC0	Bos taurus	Metazoa	423	False	-	2
Q96HJ9	Homo sapiens	Metazoa	113	False	-	3
Q8W4E7	Arabidopsis thaliana	Viridiplantae	598	False	-	4
Q9XZ34	Drosophila melanogaster	Metazoa	1416	False	-	0
Q08213	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	363	False	-	1
Q6K9U2	Oryza sativa subsp. japonica	Viridiplantae	279	False	-	2
Q94FY8	Zea mays	Viridiplantae	474	False	-	3
Q09M02	Mus musculus	Metazoa	886	False	-	4
Q8WZ42	Homo sapiens	Metazoa	34350	False	-	0
Q5T890	Homo sapiens	Metazoa	1550	False	-	1
P97481	Mus musculus	Metazoa	874	False	-	2
P30429	Caenorhabditis elegans	Metazoa	571	False	-	3
F4JTS8	Arabidopsis thaliana	Viridiplantae	2729	False	-	4
F4JTE7	Arabidopsis thaliana	Viridiplantae	298	False	-	0
O00154	Homo sapiens	Metazoa	380	False	-	1
P38289	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	585	False	-	2
Q8N3V7	Homo sapiens	Metazoa	929	False	-	3
O48528	Arabidopsis thaliana	Viridiplantae	159	True	-	4
Q9P7B8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	399	False	-	0
Q8WXI9	Homo sapiens	Metazoa	593	False	-	1
Q9UI30	Homo sapiens	Metazoa	125	False	-	2
P20143	Hordeum vulgare	Viridiplantae	143	False	-	3
Q8IU60	Homo sapiens	Metazoa	420	False	-	4
A0A7J6K338	Toxoplasma gondii	Other	504	True	-	0
P13712	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	422	False	-	1
Q02206	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	625	False	-	2
Q2HXU8	Homo sapiens	Metazoa	276	True	-	3
Q10067	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	690	False	-	4
Q9BRD0	Homo sapiens	Metazoa	619	False	-	0
Q14019	Homo sapiens	Metazoa	142	False	-	1
Q8VY15	Arabidopsis thaliana	Viridiplantae	899	False	-	2
Q9ZQI7	Arabidopsis thaliana	Viridiplantae	456	False	-	3
Q9N658	Drosophila melanogaster	Metazoa	541	False	-	4
Q9US14	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	268	False	-	0
G5EEG1	Caenorhabditis elegans	Metazoa	482	False	-	1
Q9NVV9	Homo sapiens	Metazoa	213	False	-	2
Q8MIR0	Sus scrofa	Metazoa	373	False	-	3
Q8TD19	Homo sapiens	Metazoa	979	False	-	4
O78750	Ovis aries	Metazoa	227	True	-	0
Q587J8	Homo sapiens	Metazoa	217	False	-	1
P32198	Rattus norvegicus	Metazoa	773	True	-	2
C8KI33	Arabidopsis thaliana	Viridiplantae	646	False	-	3
O54697	Rattus norvegicus	Metazoa	745	True	-	4
Q03153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	612	False	-	0
Q6GPH4	Homo sapiens	Metazoa	301	False	-	1
Q9C7S5	Arabidopsis thaliana	Viridiplantae	1095	True	-	2
O60293	Homo sapiens	Metazoa	1989	False	-	3
P30605	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	584	True	-	4
O74469	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	133	False	-	0
Q84JZ6	Arabidopsis thaliana	Viridiplantae	244	False	-	1
Q969Z3	Homo sapiens	Metazoa	335	False	-	2
P11101	Rattus norvegicus	Metazoa	114	False	-	3
P56671	Mus musculus	Metazoa	477	False	-	4
P32451	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	375	False	-	0
O35671	Mus musculus	Metazoa	200	False	-	1
Q9GZT3	Homo sapiens	Metazoa	109	False	-	2
P19525	Homo sapiens	Metazoa	551	False	-	3
P39880	Homo sapiens	Metazoa	1505	False	-	4
P11115	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	270	False	-	0
G5ECG2	Caenorhabditis elegans	Metazoa	467	False	-	1
Q12223	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	238	False	-	2
G5ECN5	Caenorhabditis elegans	Metazoa	388	False	-	3
P26358	Homo sapiens	Metazoa	1616	False	-	4
Q94515	Drosophila melanogaster	Metazoa	321	True	-	0
Q8VZA0	Arabidopsis thaliana	Viridiplantae	936	False	-	1
Q96QE5	Homo sapiens	Metazoa	360	False	-	2
O43290	Homo sapiens	Metazoa	800	False	-	3
Q9P000	Homo sapiens	Metazoa	198	False	-	4
Q9HDB9	Homo sapiens	Metazoa	667	False	-	0
P40467	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	964	False	-	1
Q90578	Gallus gallus	Metazoa	464	False	-	2
Q9D4J1	Mus musculus	Metazoa	240	False	-	3
Q08932	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	381	False	-	4
P53615	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	221	False	-	0
A6H8H2	Mus musculus	Metazoa	1906	False	-	1
Q8LE98	Arabidopsis thaliana	Viridiplantae	344	False	-	2
Q9M9X4	Arabidopsis thaliana	Viridiplantae	295	False	-	3
Q8N726	Homo sapiens	Metazoa	132	False	-	4
Q12045	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	647	False	-	0
Q96HY7	Homo sapiens	Metazoa	919	False	-	1
Q9D328	Mus musculus	Metazoa	167	True	-	2
Q9H3F6	Homo sapiens	Metazoa	313	False	-	3
Q9SZR3	Arabidopsis thaliana	Viridiplantae	1017	False	-	4
P53032	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	299	False	-	0
Q07532	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	353	False	-	1
Q9Y7K9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	246	False	-	2
Q9C811	Arabidopsis thaliana	Viridiplantae	1495	False	-	3
Q01831	Homo sapiens	Metazoa	940	False	-	4
Q93V66	Arabidopsis thaliana	Viridiplantae	226	False	-	0
Q90ZN1	Gallus gallus	Metazoa	177	True	-	1
Q922B6	Mus musculus	Metazoa	594	False	-	2
Q99583	Homo sapiens	Metazoa	582	False	-	3
Q08977	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	551	False	-	4
Q9JJK4	Rattus norvegicus	Metazoa	372	True	-	0
O46385	Bos taurus	Metazoa	2194	False	-	1
Q03533	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	586	False	-	2
Q9H7Z3	Homo sapiens	Metazoa	1164	False	-	3
O95433	Homo sapiens	Metazoa	338	False	-	4
Q8WYK0	Homo sapiens	Metazoa	555	False	-	0
Q9FFC7	Arabidopsis thaliana	Viridiplantae	978	False	-	1
P23116	Mus musculus	Metazoa	1344	False	-	2
Q8SUF9	Encephalitozoon cuniculi (strain GB-M1)	Fungi	553	True	-	3
P79071	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	195	False	-	4
Q5LJZ2	Drosophila melanogaster	Metazoa	1641	False	-	0
Q96DE5	Homo sapiens	Metazoa	110	False	-	1
P35169	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2470	False	-	2
O60934	Homo sapiens	Metazoa	754	False	-	3
Q8N8Q3	Homo sapiens	Metazoa	282	False	-	4
Q8RXN6	Arabidopsis thaliana	Viridiplantae	485	False	-	0
Q9UJ42	Homo sapiens	Metazoa	338	True	-	1
P09596	Spinacia oleracea	Viridiplantae	121	False	-	2
P09132	Homo sapiens	Metazoa	144	False	-	3
Q1MTQ7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	633	False	-	4
Q940M2	Arabidopsis thaliana	Viridiplantae	476	False	-	0
P40366	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	167	False	-	1
Q14678	Homo sapiens	Metazoa	1352	False	-	2
P13498	Homo sapiens	Metazoa	195	False	-	3
C0HLF1	Dictyostelium discoideum	Other	154	False	-	4
Q03124	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	581	False	-	0
Q9NPI6	Homo sapiens	Metazoa	582	False	-	1
P38727	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	235	True	-	2
Q86WV5	Homo sapiens	Metazoa	123	False	-	3
O81775	Arabidopsis thaliana	Viridiplantae	158	True	-	4
O14423	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	514	False	-	0
P10080	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	294	False	-	1
P51970	Homo sapiens	Metazoa	172	False	-	2
Q93ZB2	Arabidopsis thaliana	Viridiplantae	509	True	-	3
Q8QZY3	Mus musculus	Metazoa	150	False	-	4
Q9Y3Y2	Homo sapiens	Metazoa	248	False	-	0
Q8IRB5	Drosophila melanogaster	Metazoa	1465	False	-	1
O95059	Homo sapiens	Metazoa	124	False	-	2
Q61097	Mus musculus	Metazoa	873	False	-	3
Q9C9T2	Arabidopsis thaliana	Viridiplantae	451	False	-	4
U9W8F2	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	110	False	-	0
P50876	Homo sapiens	Metazoa	292	False	-	1
Q9NSP4	Homo sapiens	Metazoa	180	False	-	2
Q9LY23	Arabidopsis thaliana	Viridiplantae	286	False	-	3
Q8LAC4	Arabidopsis thaliana	Viridiplantae	322	False	-	4
P30047	Homo sapiens	Metazoa	84	False	-	0
