Accession	Organism	Kingdom	Length	Cleavage	Type	Fold	Transmembrane
Q9US14	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	268		-	0	False
G5EEG1	Caenorhabditis elegans	Metazoa	482		-	1	False
Q9NVV9	Homo sapiens	Metazoa	213		-	2	False
Q8MIR0	Sus scrofa	Metazoa	373		-	3	False
Q8TD19	Homo sapiens	Metazoa	979		-	4	False
O78750	Ovis aries	Metazoa	227		-	0	True
Q587J8	Homo sapiens	Metazoa	217		-	1	False
P32198	Rattus norvegicus	Metazoa	773		-	2	True
C8KI33	Arabidopsis thaliana	Viridiplantae	646		-	3	False
O54697	Rattus norvegicus	Metazoa	745		-	4	True
Q03153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	612		-	0	False
Q6GPH4	Homo sapiens	Metazoa	301		-	1	False
Q9C7S5	Arabidopsis thaliana	Viridiplantae	1095		-	2	True
O60293	Homo sapiens	Metazoa	1989		-	3	False
P30605	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	584		-	4	True
O74469	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	133		-	0	False
Q84JZ6	Arabidopsis thaliana	Viridiplantae	244		-	1	False
Q969Z3	Homo sapiens	Metazoa	335		-	2	False
P11101	Rattus norvegicus	Metazoa	114		-	3	False
P56671	Mus musculus	Metazoa	477		-	4	False
P32451	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	375		-	0	False
O35671	Mus musculus	Metazoa	200		-	1	False
Q9GZT3	Homo sapiens	Metazoa	109		-	2	False
P19525	Homo sapiens	Metazoa	551		-	3	False
P39880	Homo sapiens	Metazoa	1505		-	4	False
P11115	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	270		-	0	False
G5ECG2	Caenorhabditis elegans	Metazoa	467		-	1	False
Q12223	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	238		-	2	False
G5ECN5	Caenorhabditis elegans	Metazoa	388		-	3	False
P26358	Homo sapiens	Metazoa	1616		-	4	False
Q94515	Drosophila melanogaster	Metazoa	321		-	0	True
Q8VZA0	Arabidopsis thaliana	Viridiplantae	936		-	1	False
Q96QE5	Homo sapiens	Metazoa	360		-	2	False
O43290	Homo sapiens	Metazoa	800		-	3	False
Q9P000	Homo sapiens	Metazoa	198		-	4	False
Q9HDB9	Homo sapiens	Metazoa	667		-	0	False
P40467	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	964		-	1	False
Q90578	Gallus gallus	Metazoa	464		-	2	False
Q9D4J1	Mus musculus	Metazoa	240		-	3	False
Q08932	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	381		-	4	False
P53615	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	221		-	0	False
A6H8H2	Mus musculus	Metazoa	1906		-	1	False
Q8LE98	Arabidopsis thaliana	Viridiplantae	344		-	2	False
Q9M9X4	Arabidopsis thaliana	Viridiplantae	295		-	3	False
Q8N726	Homo sapiens	Metazoa	132		-	4	False
Q12045	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	647		-	0	False
Q96HY7	Homo sapiens	Metazoa	919		-	1	False
Q9D328	Mus musculus	Metazoa	167		-	2	True
Q9H3F6	Homo sapiens	Metazoa	313		-	3	False
Q9SZR3	Arabidopsis thaliana	Viridiplantae	1017		-	4	False
P53032	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	299		-	0	False
Q07532	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	353		-	1	False
Q9Y7K9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	246		-	2	False
Q9C811	Arabidopsis thaliana	Viridiplantae	1495		-	3	False
Q01831	Homo sapiens	Metazoa	940		-	4	False
Q93V66	Arabidopsis thaliana	Viridiplantae	226		-	0	False
Q90ZN1	Gallus gallus	Metazoa	177		-	1	True
Q922B6	Mus musculus	Metazoa	594		-	2	False
Q99583	Homo sapiens	Metazoa	582		-	3	False
Q08977	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	551		-	4	False
Q9JJK4	Rattus norvegicus	Metazoa	372		-	0	True
O46385	Bos taurus	Metazoa	2194		-	1	False
Q03533	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	586		-	2	False
Q9H7Z3	Homo sapiens	Metazoa	1164		-	3	False
O95433	Homo sapiens	Metazoa	338		-	4	False
Q8WYK0	Homo sapiens	Metazoa	555		-	0	False
Q9FFC7	Arabidopsis thaliana	Viridiplantae	978		-	1	False
P23116	Mus musculus	Metazoa	1344		-	2	False
Q8SUF9	Encephalitozoon cuniculi (strain GB-M1)	Fungi	553		-	3	True
P79071	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	195		-	4	False
Q5LJZ2	Drosophila melanogaster	Metazoa	1641		-	0	False
Q96DE5	Homo sapiens	Metazoa	110		-	1	False
P35169	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2470		-	2	False
O60934	Homo sapiens	Metazoa	754		-	3	False
Q8N8Q3	Homo sapiens	Metazoa	282		-	4	False
Q8RXN6	Arabidopsis thaliana	Viridiplantae	485		-	0	False
Q9UJ42	Homo sapiens	Metazoa	338		-	1	True
P09596	Spinacia oleracea	Viridiplantae	121		-	2	False
P09132	Homo sapiens	Metazoa	144		-	3	False
Q1MTQ7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	633		-	4	False
Q940M2	Arabidopsis thaliana	Viridiplantae	476		-	0	False
P40366	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	167		-	1	False
Q14678	Homo sapiens	Metazoa	1352		-	2	False
P13498	Homo sapiens	Metazoa	195		-	3	False
C0HLF1	Dictyostelium discoideum	Other	154		-	4	False
Q03124	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	581		-	0	False
Q9NPI6	Homo sapiens	Metazoa	582		-	1	False
P38727	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	235		-	2	True
Q86WV5	Homo sapiens	Metazoa	123		-	3	False
O81775	Arabidopsis thaliana	Viridiplantae	158		-	4	True
O14423	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	514		-	0	False
P10080	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	294		-	1	False
P51970	Homo sapiens	Metazoa	172		-	2	False
Q93ZB2	Arabidopsis thaliana	Viridiplantae	509		-	3	True
Q8QZY3	Mus musculus	Metazoa	150		-	4	False
Q9Y3Y2	Homo sapiens	Metazoa	248		-	0	False
Q8IRB5	Drosophila melanogaster	Metazoa	1465		-	1	False
O95059	Homo sapiens	Metazoa	124		-	2	False
Q61097	Mus musculus	Metazoa	873		-	3	False
Q9C9T2	Arabidopsis thaliana	Viridiplantae	451		-	4	False
U9W8F2	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	110		-	0	False
P50876	Homo sapiens	Metazoa	292		-	1	False
Q9NSP4	Homo sapiens	Metazoa	180		-	2	False
Q9LY23	Arabidopsis thaliana	Viridiplantae	286		-	3	False
Q8LAC4	Arabidopsis thaliana	Viridiplantae	322		-	4	False
P30047	Homo sapiens	Metazoa	84		-	0	False
Q9VNB5	Drosophila melanogaster	Metazoa	486		-	1	True
Q66GP9	Arabidopsis thaliana	Viridiplantae	561		-	2	False
Q8IUR7	Homo sapiens	Metazoa	673		-	3	False
Q04170	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	232		-	4	False
Q96305	Arabidopsis thaliana	Viridiplantae	136		-	0	False
P60896	Homo sapiens	Metazoa	70		-	1	False
O44827	Caenorhabditis elegans	Metazoa	510		-	2	True
Q96I23	Homo sapiens	Metazoa	114		-	3	False
Q8BFX3	Mus musculus	Metazoa	815		-	4	False
Q6EPW7	Oryza sativa subsp. japonica	Viridiplantae	233		-	0	False
O14064	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	997		-	1	False
O01670	Lymnaea stagnalis	Metazoa	578		-	2	True
Q9U226	Caenorhabditis elegans	Metazoa	342		-	3	False
Q9FME4	Arabidopsis thaliana	Viridiplantae	521		-	4	False
Q95T19	Drosophila melanogaster	Metazoa	464		-	0	False
P63072	Mus musculus	Metazoa	162		-	1	False
Q80TR8	Mus musculus	Metazoa	1506		-	2	False
Q9VV74	Drosophila melanogaster	Metazoa	226		-	3	False
Q9VFW4	Drosophila melanogaster	Metazoa	251		-	4	False
A0A0D1CRD0	Ustilago maydis (strain 521 / FGSC 9021)	Fungi	550		-	0	False
P32761	Chlamydomonas moewusii	Viridiplantae	218		-	1	False
Q04430	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	367		-	2	False
Q8VY16	Arabidopsis thaliana	Viridiplantae	819		-	3	False
P49769	Mus musculus	Metazoa	467		-	4	True
D4A1X2	Rattus norvegicus	Metazoa	885		-	0	False
P35244	Homo sapiens	Metazoa	121		-	1	False
P92973	Arabidopsis thaliana	Viridiplantae	608		-	2	False
P03924	Bos taurus	Metazoa	175		-	3	True
P47123	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	218		-	4	False
P25649	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	128		-	0	False
P82715	Arabidopsis thaliana	Viridiplantae	297		-	1	False
O35284	Mus musculus	Metazoa	125		-	2	False
O93956	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	549		-	3	True
P13620	Bos taurus	Metazoa	161		-	4	False
Q01532	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	483		-	0	False
Q16206	Homo sapiens	Metazoa	610		-	1	False
P15436	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1097		-	2	False
P48552	Homo sapiens	Metazoa	1158		-	3	False
O74879	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	634		-	4	False
Q6NUD0	Xenopus laevis	Metazoa	333		-	0	False
P06785	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	304		-	1	False
Q9Y3A0	Homo sapiens	Metazoa	265		-	2	False
A0A075TXZ8	Penicillium expansum	Fungi	799		-	3	False
Q3ZCQ8	Homo sapiens	Metazoa	353		-	4	True
P38872	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	237		-	0	False
Q9NAD6	Caenorhabditis elegans	Metazoa	706		-	1	False
Q9UHH9	Homo sapiens	Metazoa	426		-	2	False
P22194	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	332		-	3	False
Q6NUF4	Xenopus laevis	Metazoa	716		-	4	False
P0CX38	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	236		-	0	False
Q9XF57	Arabidopsis thaliana	Viridiplantae	317		-	1	False
Q6NQK2	Arabidopsis thaliana	Viridiplantae	449		-	2	False
Q7JXF5	Drosophila melanogaster	Metazoa	394		-	3	False
P21359	Homo sapiens	Metazoa	2839		-	4	False
G5EED4	Caenorhabditis elegans	Metazoa	655		-	0	False
Q9BWL3	Homo sapiens	Metazoa	253		-	1	True
P82195	Spinacia oleracea	Viridiplantae	166		-	2	False
P28320	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	278		-	3	False
Q9H410	Homo sapiens	Metazoa	356		-	4	False
P42858	Homo sapiens	Metazoa	3142		-	0	False
P53226	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	547		-	1	False
Q571I4	Mus musculus	Metazoa	1373		-	2	False
Q9BT49	Homo sapiens	Metazoa	309		-	3	False
Q15170	Homo sapiens	Metazoa	159		-	4	False
Q9LJ87	Arabidopsis thaliana	Viridiplantae	415		-	0	False
P10834	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	293		-	1	False
A8MQL1	Arabidopsis thaliana	Viridiplantae	1082		-	2	False
G5DBJ0	Nicotiana benthamiana	Viridiplantae	252		-	3	False
Q7TNV0	Mus musculus	Metazoa	380		-	4	False
Q17784	Caenorhabditis elegans	Metazoa	830		-	0	False
P12198	Nicotiana tabacum	Viridiplantae	55		-	1	False
Q9FEN9	Arabidopsis thaliana	Viridiplantae	228		-	2	False
Q8L7C9	Arabidopsis thaliana	Viridiplantae	217		-	3	False
Q80W99	Mus musculus	Metazoa	395		-	4	True
O42936	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	470		-	0	False
P22315	Mus musculus	Metazoa	422		-	1	False
P53276	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	713		-	2	False
P39707	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	275		-	3	False
Q03557	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	464		-	4	False
Q15562	Homo sapiens	Metazoa	447		-	0	False
Q8BGY9	Mus musculus	Metazoa	580		-	1	True
Q9M9Y4	Arabidopsis thaliana	Viridiplantae	421		-	2	False
P47148	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283		-	3	False
Q7XI96	Oryza sativa subsp. japonica	Viridiplantae	298		-	4	False
Q9UMS0	Homo sapiens	Metazoa	254		-	0	False
P38182	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	117		-	1	False
Q8VDF2	Mus musculus	Metazoa	782		-	2	False
Q7M0E7	Rattus norvegicus	Metazoa	145		-	3	False
A0FGR9	Homo sapiens	Metazoa	886		-	4	True
O13769	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	638		-	0	False
Q9BZC1	Homo sapiens	Metazoa	486		-	1	False
Q01080	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	415		-	2	False
P50091	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	288		-	3	False
O96237	Plasmodium falciparum (isolate 3D7)	Other	899		-	4	False
Q9LUI3	Arabidopsis thaliana	Viridiplantae	695		-	0	False
P52435	Homo sapiens	Metazoa	117		-	1	False
Q18508	Caenorhabditis elegans	Metazoa	1784		-	2	False
Q9VRJ0	Drosophila melanogaster	Metazoa	726		-	3	False
Q99PD6	Rattus norvegicus	Metazoa	461		-	4	False
Q91YI6	Mus musculus	Metazoa	484		-	0	False
P07266	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	363		-	1	False
P82658	Arabidopsis thaliana	Viridiplantae	229		-	2	False
Q9SI37	Arabidopsis thaliana	Viridiplantae	487		-	3	False
Q6PCP5	Mus musculus	Metazoa	291		-	4	False
P39769	Drosophila melanogaster	Metazoa	1589		-	0	False
P27351	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	700		-	1	False
P54845	Homo sapiens	Metazoa	237		-	2	False
Q93YW0	Arabidopsis thaliana	Viridiplantae	684		-	3	False
P29465	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1165		-	4	False
Q9UN81	Homo sapiens	Metazoa	338		-	0	False
P38830	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	627		-	1	False
P08011	Rattus norvegicus	Metazoa	155		-	2	True
Q04705	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	352		-	3	True
Q9URY2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	474		-	4	False
P49683	Homo sapiens	Metazoa	370		-	0	True
Q55GJ6	Dictyostelium discoideum	Other	214		-	1	False
Q7Z2D5	Homo sapiens	Metazoa	763		-	2	True
Q6C6R8	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	417		-	3	False
Q9P032	Homo sapiens	Metazoa	175		-	4	False
Q96CJ1	Homo sapiens	Metazoa	260		-	0	False
Q8N895	Homo sapiens	Metazoa	744		-	1	False
Q9UTR9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	368		-	2	False
F4I8I0	Arabidopsis thaliana	Viridiplantae	596		-	3	True
Q8IZY5	Homo sapiens	Metazoa	108		-	4	False
Q8L5Z4	Arabidopsis thaliana	Viridiplantae	584		-	0	False
Q9LPW3	Arabidopsis thaliana	Viridiplantae	450		-	1	False
P30902	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	174		-	2	False
Q9NRP2	Homo sapiens	Metazoa	79		-	3	False
Q7XK25	Oryza sativa subsp. japonica	Viridiplantae	475		-	4	False
Q9HAW0	Homo sapiens	Metazoa	419		-	0	False
P30968	Homo sapiens	Metazoa	328		-	1	True
P36877	Rattus norvegicus	Metazoa	443		-	2	False
Q9SLJ2	Arabidopsis thaliana	Viridiplantae	98		-	3	False
P56560	Bos taurus	Metazoa	520		-	4	False
Q04839	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	188		-	0	False
O80775	Arabidopsis thaliana	Viridiplantae	353		-	1	False
Q9UPN3	Homo sapiens	Metazoa	7388		-	2	False
P0CB49	Rattus norvegicus	Metazoa	1376		-	3	False
P38285	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	549		-	4	False
O70337	Mus musculus	Metazoa	150		-	0	False
Q94BV2	Arabidopsis thaliana	Viridiplantae	181		-	1	False
P25299	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	296		-	2	False
Q9D992	Mus musculus	Metazoa	256		-	3	False
Q9NUQ6	Homo sapiens	Metazoa	558		-	4	False
Q689G9	Oryza sativa subsp. japonica	Viridiplantae	518		-	0	False
P61793	Mus musculus	Metazoa	364		-	1	True
P19736	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	530		-	2	False
Q1K8E0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	256		-	3	False
Q19LA2	Colocasia esculenta	Viridiplantae	84		-	4	False
Q6UWS5	Homo sapiens	Metazoa	81		-	0	False
Q9VN91	Drosophila melanogaster	Metazoa	198		-	1	False
Q9VRP5	Drosophila melanogaster	Metazoa	1038		-	2	False
Q9UNQ2	Homo sapiens	Metazoa	313		-	3	False
Q9LIQ6	Arabidopsis thaliana	Viridiplantae	234		-	4	False
O60829	Homo sapiens	Metazoa	102		-	0	False
Q9LVV5	Arabidopsis thaliana	Viridiplantae	223		-	1	False
P38170	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	754		-	2	False
P40625	Tetrahymena pyriformis	Other	99		-	3	False
Q9P2Y4	Homo sapiens	Metazoa	722		-	4	False
P47002	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	699		-	0	False
Q9VKJ9	Drosophila melanogaster	Metazoa	816		-	1	False
Q03281	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	663		-	2	False
Q96M94	Homo sapiens	Metazoa	604		-	3	False
Q02410	Homo sapiens	Metazoa	837		-	4	False
P48837	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	541		-	0	False
P38782	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	295		-	1	False
P40106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	250		-	2	False
Q9UBQ5	Homo sapiens	Metazoa	218		-	3	False
Q9P2D0	Homo sapiens	Metazoa	1353		-	4	False
Q8R104	Mus musculus	Metazoa	334		-	0	False
O49929	Pisum sativum	Viridiplantae	213		-	1	False
Q9P7S6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	274		-	2	False
Q10585	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	124		-	3	False
P49686	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	430		-	4	False
O88457	Rattus norvegicus	Metazoa	1765		-	0	False
Q5RI15	Homo sapiens	Metazoa	118		-	1	True
Q9LJG6	Arabidopsis thaliana	Viridiplantae	193		-	2	False
Q9WVL3	Mus musculus	Metazoa	1083		-	3	False
Q9NQC3	Homo sapiens	Metazoa	1192		-	4	False
Q60415	Cricetulus griseus	Metazoa	299		-	0	False
Q9Z1N1	Rattus norvegicus	Metazoa	339		-	1	False
O02696	Sus scrofa	Metazoa	877		-	2	False
Q54QQ1	Dictyostelium discoideum	Other	1387		-	3	False
Q9FIG9	Arabidopsis thaliana	Viridiplantae	801		-	4	False
P38858	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	249		-	0	False
Q96LW7	Homo sapiens	Metazoa	228		-	1	False
Q9NPJ1	Homo sapiens	Metazoa	570		-	2	False
E9PYL2	Mus musculus	Metazoa	2035		-	3	False
P25696	Arabidopsis thaliana	Viridiplantae	444		-	4	False
Q92574	Homo sapiens	Metazoa	1164		-	0	False
Q9SR62	Arabidopsis thaliana	Viridiplantae	309		-	1	False
Q9HAI6	Homo sapiens	Metazoa	301		-	2	False
Q9NUQ9	Homo sapiens	Metazoa	324		-	3	False
Q03220	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	320		-	4	False
Q32SG5	Zea mays	Viridiplantae	616		-	0	False
F4ICK8	Arabidopsis thaliana	Viridiplantae	502		-	1	False
Q9NZM4	Homo sapiens	Metazoa	1560		-	2	False
Q60698	Mus musculus	Metazoa	725		-	3	False
S4TF94	Humulus lupulus	Viridiplantae	527		-	4	False
O75940	Homo sapiens	Metazoa	238		-	0	False
Q9ZNT7	Arabidopsis thaliana	Viridiplantae	286		-	1	True
P53854	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	179		-	2	False
Q05934	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	901		-	3	False
Q04006	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	179		-	4	False
Q9BUZ4	Homo sapiens	Metazoa	470		-	0	False
Q9Y5B8	Homo sapiens	Metazoa	376		-	1	False
Q94AT3	Arabidopsis thaliana	Viridiplantae	378		-	2	False
Q18425	Caenorhabditis elegans	Metazoa	473		-	3	False
P0CY11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	126		-	4	False
Q06596	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	294		-	0	False
Q9Y2S7	Homo sapiens	Metazoa	368		-	1	False
Q12802	Homo sapiens	Metazoa	2813		-	2	False
Q9VPQ6	Drosophila melanogaster	Metazoa	1191		-	3	False
Q8TBK2	Homo sapiens	Metazoa	473		-	4	False
G2TRN4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	104		-	0	False
Q8H157	Arabidopsis thaliana	Viridiplantae	585		-	1	True
Q9XIA7	Arabidopsis thaliana	Viridiplantae	54		-	2	True
Q9NAN2	Caenorhabditis elegans	Metazoa	309		-	3	False
I1RC73	Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1)	Fungi	492		-	4	False
P53866	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	767		-	0	False
O43114	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	455		-	1	False
Q9Y7M6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	217		-	2	False
A2XFC1	Oryza sativa subsp. indica	Viridiplantae	442		-	3	False
Q53H12	Homo sapiens	Metazoa	422		-	4	False
P38855	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283		-	0	False
O95905	Homo sapiens	Metazoa	644		-	1	False
Q42496	Chlamydomonas reinhardtii	Viridiplantae	99		-	2	True
O96693	Plasmodium falciparum (isolate HB3)	Other	488		-	3	False
Q9Y287	Homo sapiens	Metazoa	266		-	4	True
P40169	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	301		-	0	True
Q01329	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	785		-	1	False
O04616	Arabidopsis thaliana	Viridiplantae	164		-	2	False
Q10LI1	Oryza sativa subsp. japonica	Viridiplantae	260		-	3	False
Q80T79	Mus musculus	Metazoa	3707		-	4	True
Q8BGW1	Mus musculus	Metazoa	502		-	0	False
Q3MHJ5	Bos taurus	Metazoa	138		-	1	False
Q9EPL8	Mus musculus	Metazoa	1038		-	2	False
Q9UIG0	Homo sapiens	Metazoa	1483		-	3	False
P08580	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	107		-	4	False
Q9USH6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	204		-	0	False
Q9H2D6	Homo sapiens	Metazoa	2365		-	1	False
P87315	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1630		-	2	False
Q94K73	Arabidopsis thaliana	Viridiplantae	429		-	3	False
E3VNM4	Arabidopsis thaliana	Viridiplantae	460		-	4	False
Q5BJZ6	Rattus norvegicus	Metazoa	400		-	0	False
Q24472	Drosophila melanogaster	Metazoa	845		-	1	False
P58334	Mus musculus	Metazoa	251		-	2	False
Q05123	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	467		-	3	False
Q0E671	Danio rerio	Metazoa	430		-	4	False
P38255	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	430		-	0	False
O55028	Mus musculus	Metazoa	412		-	1	False
A0A0U2X0E4	Ustilago maydis	Fungi	443		-	2	False
Q802Y8	Danio rerio	Metazoa	671		-	3	False
Q969Z0	Homo sapiens	Metazoa	631		-	4	False
Q00312	Candida albicans	Fungi	527		-	0	False
Q9NVI1	Homo sapiens	Metazoa	1328		-	1	False
P36421	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	394		-	2	False
Q12321	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	566		-	3	False
Q0WPT7	Arabidopsis thaliana	Viridiplantae	352		-	4	False
Q06405	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	101		-	0	False
Q9H0E3	Homo sapiens	Metazoa	1048		-	1	False
P25626	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	169		-	2	False
W0RYD3	Oryza sativa subsp. japonica	Viridiplantae	2135		-	3	False
Q76NM6	Plasmodium falciparum (isolate 3D7)	Other	611		-	4	False
Q8N5P1	Homo sapiens	Metazoa	291		-	0	False
Q02038	Sus scrofa	Metazoa	704		-	1	False
Q3UK10	Mus musculus	Metazoa	175		-	2	False
B8BDQ4	Oryza sativa subsp. indica	Viridiplantae	696		-	3	False
Q28177	Bos taurus	Metazoa	415		-	4	False
Q61146	Mus musculus	Metazoa	521		-	0	True
Q96LW4	Homo sapiens	Metazoa	560		-	1	False
Q03799	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	155		-	2	False
P36151	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	352		-	3	False
Q24134	Drosophila melanogaster	Metazoa	578		-	4	False
P48237	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	864		-	0	False
Q9FFY9	Arabidopsis thaliana	Viridiplantae	640		-	1	False
O74381	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	467		-	2	False
P34260	Caenorhabditis elegans	Metazoa	603		-	3	False
P35869	Homo sapiens	Metazoa	848		-	4	False
Q9H9P5	Homo sapiens	Metazoa	680		-	0	False
P19659	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1081		-	1	False
P47027	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	764		-	2	False
O55102	Mus musculus	Metazoa	125		-	3	False
Q96HA9	Homo sapiens	Metazoa	241		-	4	False
Q9URT4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	697		-	0	False
P25646	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	442		-	1	False
